comuna;region;year;month;day;str_date;n_contadores;count_1;count_2
PUERTO AYSÉN;11;2018;1;4;4-1-2018;12;387;0
VALDIVIA;14;2018;1;5;5-1-2018;3;379;0
HUALPÉN;8;2018;1;5;5-1-2018;2;200;0
TALCAHUANO;8;2018;1;5;5-1-2018;3;638;0
LOS ANGELES;8;2018;1;5;5-1-2018;2;791;0
CONCEPCION;8;2018;1;5;5-1-2018;2;1618;0
CORONEL;8;2018;1;5;5-1-2018;2;724;0
ARICA;15;2018;1;5;5-1-2018;7;2150;0
Temuco;9;2018;1;5;5-1-2018;6;3565;0
VILLARICA;9;2018;1;5;5-1-2018;4;478;0
TEMUCO;9;2018;1;5;5-1-2018;10;3915;0
VICTORIA;9;2018;1;5;5-1-2018;3;777;0
PUNTA ARENAS;12;2018;1;5;5-1-2018;6;813;0
PUERTO NATALES;12;2018;1;5;5-1-2018;6;426;0
ANTOFAGASTA;2;2018;1;5;5-1-2018;4;908;0
CALAMA;2;2018;1;5;5-1-2018;7;2469;0
LA SERENA;4;2018;1;5;5-1-2018;3;549;0
TALAGANTE;13;2018;1;5;5-1-2018;3;1067;0
BUIN;13;2018;1;5;5-1-2018;1;743;0
PUERTO MONTT;10;2018;1;5;5-1-2018;4;443;0
COPIAPO;3;2018;1;5;5-1-2018;8;2059;0
SANTA CRUZ;6;2018;1;5;5-1-2018;1;355;0
RANCAGUA;6;2018;1;5;5-1-2018;1;530;0
PUERTO AYSÉN;11;2018;1;5;5-1-2018;12;589;0
VALDIVIA;14;2018;1;6;6-1-2018;3;384;0
HUALPÉN;8;2018;1;6;6-1-2018;2;213;0
TALCAHUANO;8;2018;1;6;6-1-2018;3;596;0
LOS ANGELES;8;2018;1;6;6-1-2018;2;559;0
CONCEPCION;8;2018;1;6;6-1-2018;2;1084;0
CORONEL;8;2018;1;6;6-1-2018;2;729;0
ARICA;15;2018;1;6;6-1-2018;7;1708;0
Temuco;9;2018;1;6;6-1-2018;6;3127;0
VILLARICA;9;2018;1;6;6-1-2018;4;462;0
TEMUCO;9;2018;1;6;6-1-2018;10;3775;0
VICTORIA;9;2018;1;6;6-1-2018;3;581;0
PUNTA ARENAS;12;2018;1;6;6-1-2018;6;880;0
PUERTO NATALES;12;2018;1;6;6-1-2018;6;299;0
ANTOFAGASTA;2;2018;1;6;6-1-2018;4;716;0
CALAMA;2;2018;1;6;6-1-2018;7;2090;0
LA SERENA;4;2018;1;6;6-1-2018;3;472;0
TALAGANTE;13;2018;1;6;6-1-2018;3;892;0
BUIN;13;2018;1;6;6-1-2018;1;576;0
PUERTO MONTT;10;2018;1;6;6-1-2018;4;359;0
